id,split,source,intent,question,answer,entities,product_skus,tags
1,train,faq,sizing_helmet,How do I choose the right riding helmet size?,"Measure the circumference of your head just above the eyebrows, then compare to our size chart. The helmet should feel snug without pressure points and not move when you shake your head.","{""category"": ""helmet"", ""measure"": ""head_circumference_cm""}","HELM-VENT,HELM-MIPS",sizing;fit;helmet
2,train,faq,sizing_boots,What size tall boots should I get?,"Measure calf at the widest point and height from floor to back of knee while seated. Use both calf and height to select a size; if between sizes, choose the smaller calf size for a snug fit.","{""category"": ""boots"", ""measure"": [""calf_circumference_cm"", ""height_cm""]}","BOOT-TALL,BOOT-PADDOCK",sizing;fit;boots
3,train,faq,sizing_breeches,Do breeches run true to size?,"Most brands run true to waist size in inches; for a compressive feel, size down one. Check product page for brand-specific notes.","{""category"": ""breeches""}",BRCH-GRIP,sizing;apparel
4,train,faq,fit_saddle,How do I know if a saddle fits my horse?,"Check that the gullet clears the withers by 2–3 fingers, panels make even contact, and the saddle stays balanced without bridging. A qualified saddle fitter is recommended.","{""category"": ""saddle"", ""animal"": ""horse""}","SAD-CLASSIC-17,SAD-DRESSAGE-175",saddle;fit
5,train,faq,bit_size,What bit size should I choose for my horse?,"Measure the existing bit from ring to ring in millimeters. Average cob is ~125 mm, full ~135 mm, but confirm with a bit sizer for accuracy.","{""category"": ""bit"", ""animal"": ""horse""}","BIT-LOOSE,BIT-D",sizing;bit
6,train,faq,care_leather,How should I care for leather tack?,"Wipe down after each ride, deep clean weekly with glycerin soap, and condition monthly. Avoid direct heat and store in a cool, dry place.","{""category"": ""leather_tack""}","COND-LEATH,SOAP-GLYC",care;leather
7,train,faq,wash_breeches,Can I machine-wash breeches?,"Yes—turn inside out, cold wash, mild detergent, no fabric softener, and line dry to preserve silicone grip.","{""category"": ""breeches""}",BRCH-GRIP,care;laundry
8,train,faq,helmet_lifespan,How long does a riding helmet last?,"Replace every 5 years or immediately after any impact, even if there’s no visible damage.","{""category"": ""helmet""}","HELM-VENT,HELM-MIPS",safety;helmet
9,train,faq,blanket_care,How do I clean turnout blankets?,"Brush off mud, close straps, use a blanket-safe detergent on a gentle cycle, and reproof waterproofing annually.","{""category"": ""blanket""}","BLKT-200,BLKT-100",care;blanket
10,train,faq,helmet_cert,Are your helmets ASTM/SEI certified?,"Yes, all riding helmets we sell meet current ASTM F1163 with SEI certification. Check each product page for certification details.","{""category"": ""helmet"", ""standard"": [""ASTM F1163"", ""SEI""]}",HELM-MIPS,safety;certification
11,train,faq,safety_vest,How do I choose a safety vest level?,Level 3 (BETA 2018) offers the highest impact protection for general riding and eventing; ensure a snug fit and proper coverage.,"{""category"": ""body_protector"", ""standard"": ""BETA 2018""}",VEST-L3,safety;protective
12,train,faq,shipping_time,How long does shipping take?,Standard shipping takes 3–5 business days; expedited options are available at checkout.,"{""topic"": ""shipping""}",,policy;shipping
13,train,faq,shipping_intl,Do you ship internationally?,"Yes, we ship to most countries. Duties and taxes are calculated at checkout or charged by local customs.","{""topic"": ""shipping"", ""scope"": ""international""}",,policy;shipping
14,train,faq,return_policy,What is your return policy?,Unworn items in original packaging can be returned within 30 days. Helmets and safety equipment must be unused with tags attached.,"{""topic"": ""returns""}",,policy;returns
15,train,faq,exchange_process,How do I exchange for a different size?,Start a return in your account and select 'Exchange'. We’ll ship the new size once the original is scanned in transit.,"{""topic"": ""returns"", ""type"": ""exchange""}",,policy;returns
16,train,faq,order_status,Where is my order?,"Use the tracking link in your confirmation email or log in to your account. If it hasn’t updated in 48 hours, contact support.","{""topic"": ""order_status""}",,orders;tracking
17,train,faq,saddle_types,What’s the difference between jumping and dressage saddles?,"Jumping saddles have a forward flap and shallower seat for two‑point; dressage saddles have a deeper seat and longer, straighter flap for flatwork.","{""category"": ""saddle""}","SAD-JUMP-17,SAD-DRESSAGE-175",product_info;saddle
18,train,faq,blanket_weight,Which blanket weight should I buy?,"Use temperature and coat condition: 50–60°F sheet (0g), 40–50°F light (100g), 30–40°F medium (200g), <30°F heavy (300g+). Adjust for clipping and shelter.","{""category"": ""blanket"", ""units"": ""F""}","BLKT-0,BLKT-100,BLKT-200,BLKT-300",product_select;blanket
19,train,faq,girth_type,Do I need an anatomic girth?,Horses with forward girth grooves or saddle slip may benefit. Ensure correct length and billet alignment.,"{""category"": ""girth""}","GIRTH-ANAT,GIRTH-STD",product_info;girth
20,train,faq,stirrups_safety,Are composite safety stirrups worth it?,They’re lighter and often have a release mechanism for reduced entrapment risk; select a tread width that matches your boot.,"{""category"": ""stirrups""}","STRP-SAFE,STRP-ALUM",product_info;stirrups
21,train,faq,boot_rub,How do I prevent rubs from new tall boots?,"Break in gradually, use heel grips or moleskin on hotspots, and apply leather conditioner to soften.","{""category"": ""boots""}",BOOT-TALL,care;fit
22,train,faq,saddle_pad,Which saddle pad is best for sensitive skin?,Merino-lined or bamboo pads reduce friction and wick moisture; wash regularly with hypoallergenic detergent.,"{""category"": ""saddle_pad""}","PAD-MERINO,PAD-BAMBOO",product_select;pad
23,train,faq,bit_material,What’s the difference between sweet iron and stainless bits?,Sweet iron encourages salivation and may darken with use; stainless stays bright and is low‑maintenance.,"{""category"": ""bit""}","BIT-SWEET,BIT-SS",product_info;bit
24,train,faq,fly_control,What do you recommend for fly control?,"Combine a fly sheet, mask, stall sanitation, and a repellent with pyrethrin or picaridin as needed.","{""category"": ""fly_control""}","FLY-SHEET,FLY-MASK,FLY-SPRAY",care;flies
25,train,faq,winter_boots,Are these boots insulated enough for winter?,Look for 200–400g insulation with waterproof membrane and non‑slip sole; wear wool socks and ensure room for airflow.,"{""category"": ""boots"", ""season"": ""winter""}",BOOT-INSUL,product_select;boots
26,train,faq,price_match,Do you price match?,Yes—within 14 days of purchase on identical in‑stock items from authorized retailers. Excludes clearance and marketplace sellers.,"{""topic"": ""policy"", ""type"": ""price_match""}",,policy
27,train,faq,gift_cards,Do you sell gift cards?,"Yes, digital gift cards are emailed to the recipient and redeemable online at checkout.","{""topic"": ""gift_cards""}",GIFT-CARD,sales;gift
28,train,faq,warranty,Is there a warranty on saddles?,Most new saddles include a 2‑year tree warranty and 1‑year workmanship warranty. See brand page for specifics.,"{""category"": ""saddle"", ""topic"": ""warranty""}",SAD-CLASSIC-17,warranty
29,train,faq,used_items,Can I return used items?,Used items and clearance are final sale unless defective on arrival. Contact support within 7 days for DOA claims.,"{""topic"": ""returns"", ""condition"": ""used""}",,policy;returns
30,val,faq,helmet_after_fall,Should I replace my helmet after a fall?,Yes—replace immediately after any impact. Most brands offer crash replacement discounts within a limited window.,"{""category"": ""helmet""}","HELM-VENT,HELM-MIPS",safety;helmet
31,val,faq,shipping_delay,My tracking hasn’t updated—what should I do?,"Courier scans can lag 24–48 hours. If no movement after 2 business days, contact us and we’ll investigate or reship.","{""topic"": ""shipping"", ""issue"": ""delay""}",,orders;shipping
32,test,faq,boot_waterproof,Are paddock boots waterproof?,Only models with a waterproof membrane are. Look for 'WP' in the name or the waterproof icon on the product page.,"{""category"": ""boots"", ""feature"": ""waterproof""}","BOOT-PADDOCK,BOOT-PADDOCK-WP",product_info;boots
33,test,faq,saddle_trial,Do you offer saddle trials?,Yes—7‑day trials on eligible saddles. Keep the saddle clean and use a cover; trial fee applies if returned late or marked.,"{""category"": ""saddle"", ""topic"": ""trial""}",SAD-TRIAL,policy;saddle
34,train,faq,returns_helmet,Can I return a helmet if it doesn’t fit?,"Yes if unused with tags and no signs of wear. For safety, we cannot accept used helmets.","{""category"": ""helmet"", ""topic"": ""returns""}",HELM-VENT,policy;returns;helmet
35,train,faq,eco_materials,Do you carry eco‑friendly gear?,"Yes—look for bamboo fabrics, recycled polyester, and vegetable‑tanned leather in product details.","{""topic"": ""sustainability""}","PAD-BAMBOO,BRCH-RECYCLED",sustainability;materials
36,train,faq,stirrups_width,What stirrup width should I choose?,Select a tread width about 1–1.5 cm wider than your boot for quick release.,"{""category"": ""stirrups""}","STRP-ALUM,STRP-SAFE",sizing;stirrups
37,train,faq,gelding_vs_mare_blanket,Do mares need different blanket sizing than geldings?,Sizing is generally the same; measure chest to tail in inches and round up to the nearest even number.,"{""category"": ""blanket"", ""animal"": ""horse""}","BLKT-200,BLKT-100",sizing;blanket
38,val,faq,bit_change,How often should I change bits?,There’s no set schedule; inspect weekly for sharp edges or wear and replace as needed.,"{""category"": ""bit""}","BIT-SS,BIT-LOOSE",care;bit
39,val,faq,saddle_gullet,Can I change the gullet on this saddle?,Yes—interchangeable gullet bars allow width adjustments. Use the included template to select the right bar.,"{""category"": ""saddle"", ""feature"": ""interchangeable_gullet""}",SAD-ADJ-175,product_info;saddle
40,test,faq,boot_break_in,How long to break in leather tall boots?,Typically 10–15 rides. Use boot trees and conditioner; avoid soaking.,"{""category"": ""boots""}",BOOT-TALL,care;boots
